id,question,choice1,choice2,choice3,choice4,explanation,img,category
1-11,吐血の主な特徴はどれか,酸性である,肺や気管支などから出血が要因である,神経原性ショックに陥る,喀痰を伴う,正解：酸性である\n肺や気管支からの出血、咳嗽は喀血の症状です。吐血は上部消化管からの出血です。大量に血液を履いた場合は循環血液減少性ショックに陥る可能性があります。第１１４回全国公開模擬試験にあります。,img/1-11.png,必修
1-12,リズム不整があるのはどれか,3度房室ブロック,ペースメーカーを挿入している状態,洞性頻脈,洞性徐脈,正解：3度房室ブロック\nペースメーカーは洞調律を司ります。洞調律で心拍数が100回/分以上を洞性頻脈、60回/分未満を洞性徐脈といいます。第１１４回全国公開模擬試験にあります。,img/1-12.png,必修
1-13,頻回の嘔吐で生じやすいのはどれか,代謝性アルカローシス,体重増加,呼吸性アルカローシス,貧血,正解：代謝性アルカローシス\n頻回な嘔吐により体重は低下します。呼吸性アルカローシスは過換気症候群などにより必要以上にCO2が排出され動脈血二酸化炭素分圧が低下、ｐｈが上昇した状態をいいます。嘔吐時に大量の吐血などがなければ貧血は起こりません。第１１４回全国公開模擬試験にあります。,img/1-13.png,必修
1-14,ループ利尿薬の使用により最も影響を受ける電解質はどれか,カリウム,カルシウム,リン,クロール,正解：カリウム\n一部のサイアザイド利尿薬により高カルシウム血症が見られることがありますが、ループ利尿薬ではカルシウムに影響が少ないです。リンはループ利尿薬により影響は少ないです。ループ利尿薬は主にヘンレ上行脚で原尿からのナトリウム、カリウム、クロールの再吸収を阻害しそれに伴う水の排泄を促進するがナトリウム、クロールの低下には園医尿細管で代償作用が働くため影響は少ないです。カリウムは摂取量が少ないと低カリウム血症が見られることがあります。第１１４回全国公開模擬試験にあります。,img/1-14,必修
1-15,成人の血圧測定に用いる上腕用マンシェットの幅で最も適切なのはどれか,14㎝,4㎝,24㎝,34㎝,正解：14㎝\nマンシェットの幅はJIS規格では成人14㎝、成人18㎝、9歳以上12㎝、6～9歳未満9cm、3～6歳未満7㎝、生後3か月～三歳未満5cm、生後3か月未満3㎝となっています。測定部位の周囲の長さの40％程度が適切な幅であるとされそれより幅が狭いと本来の測定値より高く幅が狭いと低くなります。第１１４回全国公開模擬試験にあります。,img/1-15.png,必修
1-16,右半身に麻痺がある患者の車いすへの移乗で最も適切なのはどれか,ベッドの左側にベッドに対して20～30度の角度で車いすを置く,ベッドの右側にベッドに対して20～30度の角度で車いすを置く,ベッドの左側にベッドに対して90度の角度で車いすを置く,看護師は患者の左側に立って介助する,正解：ベッドの左側にベッドのに対して20～30度の角度で車いすを置く\n車いすを患側に置くと患側から遠くなり患側の腕でひじ掛けをつかみにくいです。車いすのひじ掛けをつかむとき90度では遠くなるため車いすは斜めに置きます。看護師は患側である右側に立って介助します。第１１４回全国公開模擬試験にあります。,img/1-16.png,必修
1-17,整容について適切なのはどれか,活動意欲を高めることにつながる,行う時間は不規則でも構わない,重度の認知症の患者は整髪をしなくてもよい,利き腕にマヒがある患者の整容はすべて看護師が行う,正解：活動意欲を高めることにつながる\n患者の従来の生活時間を尊重し、できるだけ決まった時間に整容を行うことで生活のリズムが整うようになります。整容はすべての患者が日常的に行うことです。セルフケア能力に応じて可能な限り患者自身で整容を行えるように援助します。第１１４回全国公開模擬試験にあります。,img/1-17.png,必修
1-18,内視鏡の消毒薬はどれか,グルタラール,ベンザルコニウム塩化物,消毒用エタノール,ボビドンヨード,正解：グルタラール\n内視鏡の消毒には高水準の消毒薬が使用され、選択肢の中ではグルタラールが当てはまります。ベンザルコニウム塩化物は低水準の消毒薬で、消毒用エタノール、ボビドンヨードは中水準消毒薬です。第１１４回全国公開模擬試験にあります。,img/1-18.png,必修
1-19,中心静脈栄養法で正しいのはどれか,急な発熱はカテーテルからの感染を疑う,カテーテルの挿入部位は大腿静脈が最も多い,カテーテル挿入部を覆うドレッシング材は毎日交換する,持続的栄養投与により血糖値が安定する,正解：急な発熱はカテーテルからの感染を疑う\n中心静脈栄養法は長期にわたるため患者の動作の不便や感染リスクが少ないなどの理由から鎖骨下静脈からの挿入が最も多いです。穿刺時の乳び胸のリスクを避けるために右側が選択されることが多いです。挿入部の観察は毎日必要であるがドレッシング材の交換は滅菌ガーゼの場合は2日後と、滅菌透明フィルムの場合は少なくとも7日ごとの交換が推奨されます。高濃度の糖液を点滴することによって高血糖になりやすいため定期的に血糖値や尿糖の測定が必要です。第１１４回全国公開模擬試験にあります。,img/1-18.png,必修
1-20,静脈血採血での駆血帯の使用法で正しいのはどれか,駆血帯は採決部位より7～10㎝中枢側に巻く,駆血帯の装着時間は5分以内とする,駆血帯を巻いた後は力を入れて手を握ってもらう,採血針を抜いてから駆血帯を外す,正解：駆血帯は採決部位より7～10㎝中枢側に巻く\n駆血帯の装着時間は1分以内とします。駆血時間が長くなると血液の濃縮などにより検査データに影響が生じる場合があります。母指を中にして手を軽く握ってもらい、力を入れてもらう必要はありません。駆血帯をつけたまま抜針すると血液が抽出するため駆血帯を外してから採血心を抜きます。第１１４回全国公開模擬試験にあります。,img/1-20.png,必修
1-21,ボール型酸素流量系の目盛りの見方で正しいのはどれか,ボールの中心を見る,ボールの下縁を見る,ボールを上から中央に向けてみる,ボールを下から上縁に向けてみる,正解：ボールの中心を見る\nボール型の場合は浮子の中心と同じ高さでメモリを読みます。駒形の場合は浮子の上縁を読みます。第１１４回全国公開模擬試験にあります。,img/1-21.png,必修
1-22,自動体外式除細動器による電気的除細動の適応となるのはどれか,心室細動,房室ブロック,洞不全症候群,心室性期外収縮,正解：心室細動\n自動体外式除細動器は心房や心室の収縮が頻回、不規則、無秩序に起こって心臓の機能が障害されている場合、心臓に電気ショックを与えることにより心臓の移乗興奮を一気に抑制し、洞調律の回復を促す機器です。房室ブロックは徐脈性不整脈ではあるが無秩序な心臓収縮ではないためＡＥＤの適応とはなりません。洞不全症候群は洞結節の機能障害のために著しい洞性徐脈、洞停止、または洞性頻脈を起こす病態です。ＡＥＤの適応とはなりません。心室性期外収縮は心室筋で異常な電気興奮が発生するために生じる不整脈です。ＡＥＤの適応とはなりません。第１１４回全国公開模擬試験にあります。,img/1-22.png,必修
1-23,創傷の治療過程で線維芽細胞により肉芽組織が形成される時期はどれか,増殖期,炎症期,成熟期,乾燥期,正解：増殖期\n創傷期の治癒過程は出血凝固期、炎症期、増殖期、成熟期の順で進みます。炎症期は好中球やマクロファージが細菌や壊死組織を分解・貪食し、創を正常化する時期です。成熟期は創の上皮化が終了した後コラーゲン繊維芽変化して瘢痕組織となる時期です。創傷の治療過程に乾燥機はありません。第１１４回全国公開模擬試験にあります。,img/1-23.png,必修
1-24,キュプラーロスの死にゆく人の心理過程の順で正しいのはどれか,否認、怒り、取引、抑うつ、受容,否認、抑うつ、怒り、取引、受容,怒り、取引、否認、抑うつ、受容,怒り、抑うつ、取引、否認、受容,正解：否認、怒り、取引、抑うつ、受容\n否認とは死ぬことが受け入れられず打ち消そうとする段階です。怒りとはなぜ自分が死ななければならないのか怒りを持つ段階です。取引とは死なずに済むなら何かにすがろうと取引を考える段階です。抑うつは何もできなくなり、うつ状態になる段階です。受容は最終的に自分が死にゆくことを受け入れる段階です。第１１４回全国公開模擬試験にあります。,img/1-24.png,必修
1-25,特定健康診査の項目に当てはまるのはどれか,中性脂肪,脈拍,肺活量,視力,正解：中性脂肪\n特定健康診査は医療保険に加入している40～74歳のものを対象として毎年実施されます。内臓脂肪型肥満に着目した検査項目となっています。基本的な検査項目として、身体計測、血圧測定、脂質検査、肝機能検査、血糖検査、尿検査です。第１１４回全国公開模擬試験にあります。,img/1-25.png,必修
1-26,令和4年の日本総人口に最も近いのはどれか,1億2500万人,1億人,1億4500万人,1億6500万人,正解：1億2500万人\n令和4年の日本総ジオン港は約1億2494万7千人で12年連続で減少しています。第114回全国公開模擬試験にあります。,img/1-26.png,必修
1-27,令和4年の人口動態統計における妻の平均初婚年齢はどれか,29.7歳,25.7歳,29.7歳,31.7歳,正解：29.7歳\n令和4年の平均初婚年齢は夫31.1歳、妻29.7歳で夫婦ともに前年よりも上昇しました。第114回全国公開模擬試験にあります。,img/1-27.png,必修
1-28,令和元年の国民健康・栄養調査における男性の喫煙習慣の割合はどれか,27.1％,17.1％,37.1％,47.1％,正解：27.1％令和元年の国民健康・栄養調査における男性の喫煙習慣者の割合は27.1％である,img/1-28.png,必修
1-29,医療保険はどれか,被用者保険,労災保険,雇用保険,介護保険,正解：被用者保険\n医療保険は疾病、負傷、死亡、出産など短期的な経済的損失について保険きゅふをする制度です。被用者保険、国民健康保険、後期高齢者医療の3つの制度に大別されます。労災保険は業務上の自由や通勤による労働者の負傷、疾病、傷害、死亡などに対して存速克公正な保護をするために必要な保険きゅふを行う制度です。雇用保険は主に被保険者である労働者が失業した場合や雇用の継続が困難となる事由が生じた場合などに失業等給付を行い、求職活動をする間の生活保障と雇用の安定、再就職の援助を行う制度です。介護保険は高齢者の介護を社会全体で支え合う仕組みとして平成12年に創設された制度です。第１１４回全国公開模擬試験にあります。,img/1-29.png,必修
1-30,患者の自己決定を支援するために適切なのはどれか,患者の感情に注意を向ける,専門用語を用いて正確な説明をする,患者や家族の質問にはすべて医師が回答する,患者が不安になる情報を提供することは控える,正解：患者の表情など非言語的な表現にも目を向ける必要があります。患者や家族の理解度にあった分かりやすい表現で説明することが大切です。すべての医師が回答する必要はなく、各専門職の立場から適切に説明します。除法は偏らないよに攻勢に提供して自己決定を支援します。第１１４回全国公開模擬試験にあります。,img/1-30.png,必修
1-31,保険氏助産師看護師法で定められているのはどれか,保険師の名称独占,助産師の守秘義務,厚生労働大臣による准看護師への免許証の交付,診断書の交付,正解：保険師の名称独占\n助産師の守秘義務については刑法で定められています。准看護師への免許証交付について同法で定められていますが、都道府県知事が行います。診断書の交付は医師、歯科医師の義務であり、刑法で定められています。第１１４回全国公開模擬試験にあります。,img/1-32.png,必修
1-32,ＱＯＬについて適切なのはどれか,自分らしく納得のいく生活をしている人はＱＯＬが高い,経済的に充実した生活をしている人はＱＯＬが高い,治療法はＱＯＬより治療効果の高さを優先して選択する,障害を持つ人は障害のない人よりＱＯＬが低い,正解：自分らしく納得のいく生活をしている人はＱＯＬ高い\nＱＯＬとは、身体的、精神的、社会的、経済的などすべてを統合した生活の質を意味します。例として、収入が多くなったらお金目当ての人ばかり寄ってきて人が信じられなくなったや、高所得者の親が子供の素行に悩んでいるなどのケースは経済的に充実していてもＱＯＬが高いとは言えない例です。治療効果とＱＯＬを考慮して患者に説明し、治療法を選択します。ＱＯＬの高さに障害の有無は関係ありません。第１１４回全国公開模擬試験にあります。,img/1-33.png,必修
1-33,乳幼児が「パパ、かいしゃ」「ジュース、ほしい」といった言葉を発するようになる年齢の目安として適切なのはどれか,2歳ころ,生後2～3か月ころ,1歳ころ,3歳ころ,正解：2歳ころ\n2歳ころになると、二語文を発するようになります。第１１４回全国公開模擬試験にあります。,img/1-33.png,必修
1-34,エリクソンＥ．Ｈの発達理論で青年期の発達課題はどれか,自我同一性の確立,基本的信頼,勤勉性,生殖性,正解：自我同一性の確立\n基本的信頼は乳児期の発達課題です。勤勉性は学童期の発達課題です。生殖性は押す年季の発達課題です。第１１４回全国公開模擬試験にあります。,img/1-34.png,必修
1-35,老年期に増加するのはどれか,末梢血管抵抗,尿濃縮力,糸球体濾過量,クレアチニン生産量,正解：末梢血管抵抗\n末梢位血管抵抗は増加し、血圧が上昇傾向となります。腎臓の尿濃縮力が低下するため夜間の排尿や排尿回数が増えます。糸球体濾過量は加齢に伴い低下します。クレアチニンは筋肉にあるクレアチニンの代謝産物でクレアチニン生産量は筋肉量に比例するため、老年期には筋肉量が減ることから生産量が減ることが多いです。第１１４回全国公開模擬試験にあります。,img/1-35.png,必修
1-36,医療法における病院の病床数はどれか,20床以上,19床以下,200床以上,400床以上,正解：20床以上\n19床以下もしくは入院施設を持たないものは診療所です。200床以上は地域医療支援病院、400床以上は特定機能病院です。第１１４回全国公開模擬試験にあります。,img/1-36.png,必修
1-37,胃液に含まれる消化酵素はどれか,ペプシン,アミラーゼ,マルターゼ,トリプシン,正解：ペプシン\nアミラーゼは唾液と膵臓から分泌され、でんぷんの消化酵素です。マルターゼは小腸から分泌される麦芽糖の消化酵素です。トリプシンは膵液に含まれるたんぱく質の消化酵素です。ペプシンは胃液に含まれるたんぱく質の消化酵素です。第１１４回全国公開模擬試験にあります。,img/1-37.png,必修
1-38,内分泌器官はどれか,膵臓,汗腺,乳腺,肝臓,正解：膵臓\n汗腺・乳腺は外分泌器官です。膵臓はホルモンを分泌しません。膵臓はランゲルハンス島のα細胞からグルカゴン、β細胞からインスリン、δ細胞からソマトスタチンを分泌する内分泌期間であり、消化酵素を含む膵液を分泌する外分泌器官でもあります。第１１４回全国公開模擬試験にあります。,img/1-38.png,必修
1-39,チアノーゼの原因で正しいのはどれか,還元ヘモグロビンの増加,酸化ヘモグロビンの増加,間接ビリルビンの増加,直接ビリルビンの増加,正解：還元ヘモグロビンの増加\nチアノーゼは還元ヘモグロビンが5g/dl以上になると出現します。皮膚や粘液が青紫色を示す状態をいいます。第１１４回全国公開模擬試験にあります。,img/1-39.png,必修
1-40,低体温が起こる疾病はどれか,甲状腺機能低下症,褐色細胞腫,原発性アルドステロン症,下垂体腺腫,正解：甲状腺機能低下症\n褐色細胞腫は副腎髄質または傍神経節のクロム親和性細胞から発症する腫瘍です。高血圧、動悸、頻脈などの症状をきたします。原発性アルドステロン症は副腎皮質からアルドステロンが過剰に分泌される疾患で高血圧や低カリウム血症などが起こります。下垂体腺腫は下垂体に発症する腫瘍でホルモン症状の見られる機能腺腫瘍とホルモン症状のなり非機能性腺腫があります。後者では視神経圧迫による視野障害が見られます。第１１４回全国公開模擬試験にあります。,img/1-40.png,必修
1-41,無尿の定義となる1日の尿量はどれか,100mL以下,400ml以下,1000mL以下,1500mL以下,正解：100mL以下\n無尿とは1日の尿量が100mL以下であることを指します。第１１４回全国公開模擬試験にあります。,img/1-41.png,必修
1-42,貧血の鑑別診断の指標で用いるのはどれか,ヘマトクリット値,BMI,白血球数,血小板数,正解：ヘマトクリット値\n貧血は血液の赤血球中にあるヘモグロビンが減少した状態です。貧血の鑑別診断には赤血球数、ヘモグロビン濃度、ヘマトクリット値が用いられます。BMIはやせ、肥満を簡易にスクリーニングする数値で貧血とは関係がありません。抗ガン薬などで白血球数が減少すると易感染となるが、貧血の指標ではありません。血小板数が移乗に減少すると出血傾向や死斑が見られるが貧血の指標ではありません。第１１４回全国公開模擬試験にあります。,img/1-41.png,必修
1-43,糖尿病治療薬はどれか,スルホニル尿素薬,H2受容体拮抗薬,アンジオテンシン変換酵素阻害薬,尿酸排泄促進薬,正解：スルホニル尿素薬\nH2受容体拮抗薬は消化性潰瘍治療薬です。アンジオテンシン変換酵素阻害薬は降圧薬です。尿酸排泄促進薬は高尿酸血症治療薬です。第１１４回全国公開模擬試験にあります。,img/1-43.png,必修
1-44,面接時の質問方法で開かれた質問はどれか,なぜ家に帰りたいのですか,家に帰りたいのですか,外出の許可は出ていますか,家族の方を呼びますか,正解：なぜ家に帰りたいのですか\n開かれた質問は自分の言葉で表現して答える質問をいいます。閉じた質問は「はい」「いいえ」で答えられるものをいいます。第１１４回全国公開模擬試験にあります。,img/1-44.png,必修
1-45,成人患者にグリセリン浣腸を行うとき、禁忌となる体位はどれか,立位,右側臥位,左側臥位,シムス位,正解：立位\n成人患者にグリセリン浣腸を行う場合は浣腸液が直腸から結腸へと腸の走行に沿って流入するよう、左側臥位で行います。立位は直腸穿孔の危険があるため禁忌です。第１１４回全国公開模擬試験にあります。,img/1-45.png,必修
1-46,入浴で適切なのはどれか,冬季の脱衣所の室温は22～26度が望ましい,食後1時間以内に入浴する,浴槽の湯の温度は42～43度が望ましい,浴槽につかる時間は40分以上とる,正解：冬季の脱衣所の室温は22～26度が望ましい\n食後1時間以内の入浴は消化管血流量の減少による消化不良を招く恐れがあります。浴槽の湯の温度は38～40度が望ましいです。湯の温度を42度以上にすると交感神経優位となり、心拍数や血圧の上昇を招く必要があります。長時間湯につかると疲労の原因になるため、浴槽につかる時間は5～10分程度とします。第１１４回全国公開模擬試験にあります。,img/1-46.png,必修
1-47,気管支喘息において吸入療法時の超音波ネブライザーの使用で正しいのはどれか,薬液の吸入後はうがいをする,使用時は浅く呼吸する,仰臥位で使用すると効果的である,加湿には水道水を使用する,正解：薬液の吸入後はうがいをする\n気道に届くように深く呼吸させます。横隔膜が下がり、吸入効果が高い座位または半座位で使用します。下気道は無菌であるため滅菌蒸留水や生理食塩水を使います。第１１４回全国公開模擬試験にあります。,img/1-47.png,必修
1-48,日本の令和４年における男性の平均寿命はどれか,81.05歳,71.05歳,74.09歳,84.09歳,正解：81.05歳\n令和４年の簡易生命表によると男性の平均寿命は81.05歳、女性の平均寿命は87.05歳です。第１１４回全国公開模擬試験第二回にあります。,img/1-2-1.png,必修
1-49,便秘の解消に有効なのはどれか,規則正しい食事,水分の制限,便意の抑制習慣,安静,正解：規則正しい食事\n規則正しい食事は規則正しい排便習慣につながります。便が硬いと排泄しにくく便秘所助長しやすいため適切な水分摂取が必要です。便意があればすぐにトイレに行くことが適切です。適度な運動や腹部マッサージは腸蠕動を促進します。第１１４回全国公開模試第二回にあります。,img/1-2-2.png,必修
1-50,セリエHが論じたストレス反応の三段階はどれか,警告反応期ー抵抗期ー疲憊期,警告反応期ー疲憊期ー抵抗期,疲憊期ー抵抗期ー警告反応期,抵抗期ー警告反応期ー疲憊期,正解：警告反応期ー抵抗期ー疲憊期\nもともとは工学用語であったストレスを外部からの刺激によっておこるひずみに対する非特異的反応という医学・生理学用語として初めて用いたのはカナダの生理学者のセリエです。セリエは生体のストレス反応を第１段階：警告反応期、第２段階：抵抗期、第３段階：疲憊期の三段階に分類し、各段階でストレスに対処できなければ、ホメオスタシスの維持ができずに次の段階に進行することを記しました。第１１４回全国公開模擬試験第二回にあります。,img/1-2-3.png,必修
1-51,インフォームド・コンセントの説明でだだしいのはどれか,治療方針を説明し同意を得ること,退院指導を行うこと,家族の意見を最優先にすること,障碍者を特別に扱うこと,正解：治療方針を説明し同意を得ること\nインフォームド・コンセントとは患者が自己の病状などについて十分な説明を受け、正しく理解したうえで患者本人の同意に基づいて治療方針を選択することをいいます。これは患者の自己決定権を尊重するうえで欠かせないものです。看護師は、患者が医師による説明をただs菊理解できているか確認し、理解が不十分であれば説明を補足するなど援助を行う必要があります。第１１４回全国公開模擬試験第二回にあります。,img/1-2-4.png,必修
1-52,看護の倫理原則の無危害はどれか,患者に身体的損傷を与えない,患者に利益をもたらす医療を提供する,すべての人々に平等の医療を提供する,患者が自己決定し選択した内容を尊重する,正解：患者に身体的損傷を与えない\n患者に利益をもたらす医療を提供するのは善行の原則です。すべての人々に平等に医療を提供するのは正義の原則です。患者が自己毛呈し選択した内容を尊重するのは自律尊重の原則です。第１１４回全国公開模擬試験第二回にあります。,img/1-2-5.png,必修
1-53,出生児に異常が生じる可能性が最も高い避妊の状態はどれか,妊娠初期の風疹の罹患,インフルエンザの罹患,上胸部の熱傷,下肢の骨折,正解：妊娠初期の風疹の罹患\n母体の感染により胎児や妊娠の経過に影響を与える感染症の創傷を各疾患の頭文字からTORCH症候群と呼びます。妊娠が妊娠初期に風疹に罹患すると、風疹ウイルスが胎児に感染し、出生児に先天性風疹症候群が生じる可能性が高いです。先天性風疹症候群の発症により、出生時は白内障や先天性心疾患、感音性難聴、血小板減少症などになる危険性があります。第１１４回全国公開模擬試験第二回にあります。,img/1-2-6.png,必修
1-54,日本で用いるDENVERⅡ（デンバー発達判定法）で1歳６か月児の90％以上ができるのはどれか,上手に歩く,四角を模倣できる,上着を脱ぐ,片足飛びをする,正解：上手に歩く\nDENVERⅡによると90％の児ができるようになる月数は以下の通りです。四角を模倣できるのは５歳ころです。上着を脱ぐのは1歳3か月頃です。片足飛びをするのは4歳3か月頃です。第１１４回全国公開模擬試験第二回にあります。,img/1-2-7.png,必修
1-55,令和4年の国民生活基礎調査における65歳以上の者のいる世帯の割合に最も近いのはどれか,50％,20％,30％,40％,正解：50％\n令和4年の国民生活基礎調査によると、65歳以上の者のいる世帯の割合は約50％です。第１１４回全国公開模擬試験第二回にあります。,img/1-2-8.png,必修
1-56,設置主体が市町村となるのはどれか,地域包括支援センター,児童相談所,福祉事務所,保健所,正解：地域包括支援センター\n地域包括支援センターは市町村が設置主体となり、住民の健康の保持及び生活の安定のために必要な援助を行うことにより、地域の住民を包括的に支援することを目的とする施設です。児童相談所では都道府県、指定都市及び中核市並びに自同村男女を設置する市（特別区含む）として政令で定める市が設置主体となります。福祉事務所は都道府県及び市（特別区含む）での設置が義務付けられており、町村は任意で設置することができます。保健所は都道府県、指定都市、中核市、特別区などに設置されています。第１１４回全国公開模擬試験第二回にあります。,img/1-2-9.png,必修
1-57,嚥下機能に関与している神経はどれか,迷走神経,動眼神経,内耳神経,嗅神経,正解：迷走神経\n迷走神経は胸腹部内臓の副交感神経や嘔吐・咽頭の運動と感覚に関与します。動眼神経は上眼瞼挙筋、上直筋、内側直筋、下直筋、下斜筋を支配して海岸や眼球運動に関与し、また瞳孔括約筋による瞳孔収縮、毛様体筋によるレンズ厚調筋に関与します。吸引系は嗅覚に関与します。第１１４回全国公開模擬試験第二回にあります。,img/1-2-10.png,必修
1-58,入眠後に何度か目が覚めて、その後なかなか値付けない睡眠障害はどれか,中途覚醒,入眠障害,熱眠障害,早朝覚醒,正解：中途覚醒\n入眠障害は布団に入っても寝付くまでに長い時間を要する状態です。ジュkぅ眠障害は睡眠時間は十分であるにも関わらず、ぐっすり眠った感覚が得られない状態です。早朝覚醒は朝早く目覚めてしまい、そのまま眠れない状態です。第１１４回全国公開模擬試験第二回にあります。,img/1-2-11.png,必修
1-59,けいれん発作時の看護として適切なのはどれか,呼吸状態を観察する,下肢を挙上する,四肢を抑制する,ガーゼを口に詰める,正解：ガーゼを口に詰める\nけいれん発作時は呼吸状態、意識障害の有無、けいれんの状態の観察を行います。けいれん発作時は口腔内の唾液や嘔吐物の誤嚥、舌根沈下などによる気道の閉塞を予防するため、顔を横にむっけるか側臥位にします。けいれん発作の程度により安全面への配慮は必要であるが、必要以上に身体を抑制する必要はありません。患者が舌を噛むのを予防するためにガーゼ等を口に詰めるおt気道閉塞を起こす危険性があります。第１１４回全国公開模擬試験第二回にあります。,img/1-2-12.png,必修
1-60,狭心症の治療薬となるのはどれか,ニトログリセリン,リドカイン,チアマゾール,イソニアジド,正解：ニトログリセリン\nリドカインは抗不整脈薬や局所麻酔薬として使用します。チアマゾールは抗甲状腺薬としてしようします。磯に味とは抗結核薬として使用します。第１１４回全国公開模擬試験第二回にあります。,img/1-2-13.png,必修
1-61,出血傾向がある患者に禁忌なのはどれか,ワルファリン,インスリン,フロセミド,アシクロビル,正解：ワルファリン\nワルファリンは抗凝固薬です。インスリンは糖尿病治療薬です。フロセミドはループ利尿薬です。アシクロビルはヘルペスウイルスによる帯状疱疹などの疾患の治療薬です。第１１４回全国公開模擬試験第二回にあります。,img/1-2-14.png,必修
